,replies,handles
1, @genie_marid All redy follow,@genie_marid
2, @AyanSami8 @UmarAli88054538 fb 💯,@AyanSami8
3, @Udass_143,@Udass_143
4, @ChoudharyKBCB,@ChoudharyKBCB
6, @DeshrajDungarj1 @Anand7chaudhary,@DeshrajDungarj1
7, @isajid19,@isajid19
8, @IshanTutorial @IamKaran_Sood,@IshanTutorial
9," @jitendr05389533  
100%follow back",@jitendr05389533
10, @BhikamYadav7 @Chandra69033358,@BhikamYadav7
11, @IshanTutorial @SagarRathod137,@IshanTutorial
13, @sureshpurohit97,@sureshpurohit97
14, @kotiancr,@kotiancr
16, @Krishna108kk1,@Krishna108kk1
17, @MahiSin89438227,@MahiSin89438227
18, . Mujhe bhi kar dena @SaleemK84231131,@SaleemK84231131
19, @anuragskn @hindu_boy_rohit,@anuragskn
20, @amarjitsa,@amarjitsa
21, @Sourabh20017279 Follow me,@Sourabh20017279
22, @singhkuldeep563 @tufdeepak,@singhkuldeep563
23, @SatyamT67653388,@SatyamT67653388
24, @MRMEENAJI1998 @mr_sahil_075  100% follow back 😊,@MRMEENAJI1998
25, @Brmanojvarma2,@Brmanojvarma2
26, @modimukesh6,@modimukesh6
27, @UmarAli88054538 fb 💯,@UmarAli88054538
28, @neha_somu,@neha_somu
29, @WaseemK71759790,@WaseemK71759790
30, @ashokbi41264196,@ashokbi41264196
31, @isweta_Roy श्याम में मत करना शाम में करना,@isweta_Roy
32, @MRMEENAJI1998,@MRMEENAJI1998
33, @ImParvejVirat,@ImParvejVirat
34, @BhikamYadav7 Hii,@BhikamYadav7
35, @bhartarmy Bc kaun hai tu 😳,@bhartarmy
36, @shahidalidar_ Achaa,@shahidalidar_
37, @shahidalidar_,@shahidalidar_
38, @magan2109,@magan2109
39, @isweta_Roy hme to kabhi kiya nahi mam @rajenderswami1,@isweta_Roy
40, @AkshatDuttJoshi @rohi_jadon,@AkshatDuttJoshi
41," Follow back @sagufta1995 
Comments kr rhe sabhi dost follow kre",@sagufta1995
42, @sgbatra,@sgbatra
43, @DSU73Yei5FepuCt mujhe b,@DSU73Yei5FepuCt
44, @ashishrathore05,@ashishrathore05
45, @AnkitpandayBjp,@AnkitpandayBjp
46, @yeah55749017,@yeah55749017
48, @real__monu,@real__monu
49, @jems__0088___77,@jems__0088___77
50, @bjp4parinya,@bjp4parinya
51, @Jakhmi_,@Jakhmi_
52," @PMPATEl1969 धूर्त लड़की से कोन अपना प प्रमोशन करवाएगा, में तो नहीं😄😄😄
सिर्फ मजाक कर रहा हूं, बुरा ना माने।",@PMPATEl1969
53, @ravim5698 @GarwaLahary,@ravim5698
55, FB first @ReianSpeaks,@ReianSpeaks
56, @AjayKumarHindu3,@AjayKumarHindu3
57, @Spsinghnews @RupaDwivedi2,@Spsinghnews
58, @JhaRickey,@JhaRickey
59, @DSU73Yei5FepuCt @captainpathan2,@DSU73Yei5FepuCt
60, @SarFaraz2901,@SarFaraz2901
61, @01Vinayak,@01Vinayak
62, @Shailendrak390,@Shailendrak390
63, @BNuqoosh,@BNuqoosh
64, @musafirmanmouji,@musafirmanmouji
65, @vaibhvbjp @iParitosh92,@vaibhvbjp
67, @pankajsilawat,@pankajsilawat
68, @RajpootPoornima,@RajpootPoornima
69, @RamakantAazad,@RamakantAazad
70, @Udte_parinde1,@Udte_parinde1
71, @Khurshid_AIMIM,@Khurshid_AIMIM
72, @VikalpTripathi3 @cnfsdvl,@VikalpTripathi3
73, @Rajkumar0A,@Rajkumar0A
74, @ddtulsiani,@ddtulsiani
75, @m_randhave,@m_randhave
76," @PramodkumarTriv @Sneha21563126
@Priya04827538",@PramodkumarTriv
77," @nishusri1 @kanhatanna
#Modi भक्त को 100 %Follow Back मिलेगा.

जय हिंद 🇮🇳🚩🙏
वंदे मातरम 🇮🇳🚩🙏… https://t.co/TVKSUMsklV",@nishusri1
78, @SarasJanvaad,@SarasJanvaad
79, @Spsinghnews @HokamGarasiya,@Spsinghnews
80, @uttammeena21 @nishusri1,@uttammeena21
81, @PoswalDashrath,@PoswalDashrath
82, @Abhishe48616173 Follow me all dear,@Abhishe48616173
83, @imdhruvrajsingh,@imdhruvrajsingh
84, @manojku05742927,@manojku05742927
85, @Abhishe48616173 @DeshrajDungarj1,@Abhishe48616173
86, @PramodkumarTriv @uttammeena21,@PramodkumarTriv
87, @Abhishe48616173 @youtuberKSHFilm,@Abhishe48616173
88, @ROMESHSHAH2,@ROMESHSHAH2
89, @DineshR72055041 @Abhishe48616173,@DineshR72055041
91, @baljinder205 @Younus22146494,@baljinder205
92, @KumarrArjunYad1,@KumarrArjunYad1
93, @Satenderkm,@Satenderkm
94, @Prajjval_ @NamasteC1994,@Prajjval_
95, @S_Pandy_Babhnan,@S_Pandy_Babhnan
96, @murari_byahut,@murari_byahut
97, @Prajjval_ @MaheshNayak221,@Prajjval_
99, @bhupendrasen888,@bhupendrasen888
101, @jitendra_bhai2,@jitendra_bhai2
102, @Prajjval_,@Prajjval_
103, @DSU73Yei5FepuCt @rathour_ranjeet,@DSU73Yei5FepuCt
104, @Gurmeet83116953 Ifb,@Gurmeet83116953
105, @Gurmeet83116953,@Gurmeet83116953
106, @DSU73Yei5FepuCt @prakashthakor_,@DSU73Yei5FepuCt
107, @PramodkumarTriv @dinesh_varpe,@PramodkumarTriv
108, @Spsinghnews @DineshR15826684,@Spsinghnews
109," Done...
@PramodkumarTriv",@PramodkumarTriv
110, @DineshR72055041,@DineshR72055041
111, @PramodkumarTriv @iRishabhBJP,@PramodkumarTriv
112, @DSU73Yei5FepuCt,@DSU73Yei5FepuCt
114, @Singhkaushal05,@Singhkaushal05
115, @ShivamRajputIND,@ShivamRajputIND
116, @Rajeevdut,@Rajeevdut
