,replies,handles
0, @SanjayP50053283,@SanjayP50053283
1, @VijayKumarBH221,@VijayKumarBH221
2, @JavedAlamPES6,@JavedAlamPES6
3, @isweta_Roy @Ashutos02981088,@isweta_Roy
4, @Shojaul1,@Shojaul1
6, @CALLMECHINTU,@CALLMECHINTU
7, @suraj_bhatt1,@suraj_bhatt1
9, @Satyend11371050,@Satyend11371050
10, @iamdchandan,@iamdchandan
12, @ddtulsiani,@ddtulsiani
13, @bishtmahendra05,@bishtmahendra05
14, @chaterpati123,@chaterpati123
15, @Rajpootbrijbhan,@Rajpootbrijbhan
16, @KumarAblesh @Rohit00068,@KumarAblesh
17, @jameel_akhatar,@jameel_akhatar
19, @kumarablesh,@kumarablesh
20, @I_Bhupendra11,@I_Bhupendra11
21, @shneha_vv,@shneha_vv
22," @EarthAnshu 
@tv26newslive",@EarthAnshu
23, @Prajjval_ @ModiYug_,@Prajjval_
24, @praveensingh996,@praveensingh996
25, @indyannn,@indyannn
26, @Kpjayswal_BJP,@Kpjayswal_BJP
27, 👉@imvishalishu,@imvishalishu
28, @MDArif13051973 @Ashish_Ashirwad,@MDArif13051973
29, @Rajrockstarsing Done,@Rajrockstarsing
30, @DSU73Yei5FepuCt,@DSU73Yei5FepuCt
31, @sanjaybpatil,@sanjaybpatil
33, @l_baswal @shabdnirantar,@l_baswal
34, @ManvendraSeng,@ManvendraSeng
35, @The_Mahaveer_ 💯 Follow Back,@The_Mahaveer_
36, @shambhukumar10,@shambhukumar10
37, @mahipal96803858,@mahipal96803858
38, @SachinV93259133,@SachinV93259133
39, @satender11,@satender11
40, @Gurmeet83116953 Ifb,@Gurmeet83116953
41," @RamakantAazad Oh yes.
But please take precautions about
""Anti National Elements"" should be throwing away. Okay",@RamakantAazad
42, @RamakantAazad,@RamakantAazad
43, @Khandelwal021,@Khandelwal021
44, @Abhishe48616173 @MukeshFirst,@Abhishe48616173
46, @Abhishe48616173,@Abhishe48616173
47, @vpandey254,@vpandey254
48, @AKChandra14  Andhbhkt please follow naa kre 🙏🙏,@AKChandra14
49, @UmarAli88054538 fb 💯,@UmarAli88054538
50, @FMonisquraishi1 @PoswalDashrath,@FMonisquraishi1
52, @sharma1028,@sharma1028
53, @FMonisquraishi1 💯%fb,@FMonisquraishi1
54, @Sharma_KrishnaK,@Sharma_KrishnaK
56, @mukeshsurana,@mukeshsurana
57, @kailashchoudhr7,@kailashchoudhr7
58, @Shailendrak390,@Shailendrak390
59, @HemantYadavv 100 % follow back,@HemantYadavv
60, @skuldeepkss @gouravraghu206,@skuldeepkss
61, @imritikroushan @rss_vineet,@imritikroushan
62," @HemantYadavv 🙏🤝🤝

जो जो फॉलो करेगा उसे 10 मिनट के अंदर फॉलो बैक मिलेगा अगर नहीं मिला तो अनफॉलो कर देना",@HemantYadavv
63, @skuldeepkss,@skuldeepkss
64, @manis_misra,@manis_misra
66, @ssdsa108 @TheHarshNamdev_,@ssdsa108
67, @ssdsa108 @bimlendra_in,@ssdsa108
68, @Devyadav145,@Devyadav145
69," @T_K_Chauhan 

🌺🌻🌼🌹🌺🌻🌼🌹
🌸 🌻 ❤🌺🌻🌼🌹🌺
💯💯💯💯💯💯💯💯💯💯💯💯💯% FOLLOW BACK",@T_K_Chauhan
70, @Rajrockstarsing @RajveerSarvaiy3,@Rajrockstarsing
71, @Rajrockstarsing @gorishankarINC  #100% #Follow_Back,@Rajrockstarsing
72, @HumsafarAshu,@HumsafarAshu
73, @Rajeevdut,@Rajeevdut
74, @Rajrockstarsing,@Rajrockstarsing
75, @Prajjval_ @CuteShivani4,@Prajjval_
76," Jai Shree Ram,  Vande Matram and Bharat Mata ki Jai 

@LDMago2",@LDMago2
77, @Rishabh67960515,@Rishabh67960515
79, @Prajjval_,@Prajjval_
