,handle,handle_name,followers
0,@brjoshi1984 =46,@brjoshi1984,46
1,@babu939839 =334,@babu939839,334
2,@Jakhmi_ =372,@Jakhmi_,372
3,@iampravinkhichi =316,@iampravinkhichi,316
4,@maxx_bindas =6969,@maxx_bindas,6969
5,@KDfootballer7 =0,@KDfootballer7,0
6,@Vrushabchougale =9846,@Vrushabchougale,9846
7,@madaartekri =129,@madaartekri,129
8,@1sachin0 =8188,@1sachin0,8188
9,@imBnand =5380,@imBnand,5380
10,@sangita19821111 =1544,@sangita19821111,1544
11,@Mehtabhi1 =318,@Mehtabhi1,318
12,@annepuanil1 =296,@annepuanil1,296
13,@RaviPujari23 =37,@RaviPujari23,37
14,@SonchitGoel =183,@SonchitGoel,183
15,@NeelamSinghR =765,@NeelamSinghR,765
16,@sudhindra_kumar =216,@sudhindra_kumar,216
17,@imritikroushan =725,@imritikroushan,725
18,@Dhaneshjoshi_ =1219,@Dhaneshjoshi_,1219
19,@Praashant_P =96,@Praashant_P,96
20,@ShahrukhAIMIMmp =289,@ShahrukhAIMIMmp,289
21,@NileshBWaghmode =143,@NileshBWaghmode,143
22,@ParmanandPapu =631,@ParmanandPapu,631
23,@ShadikK87559399 =14,@ShadikK87559399,14
24,@kktiwari099 =119,@kktiwari099,119
25,@SaklenK55205414 =113,@SaklenK55205414,113
26,@Rishabh_1_4_3 =160,@Rishabh_1_4_3,160
27,@Shivkum35080780 =2090,@Shivkum35080780,2090
28,@VinodSwami_IAF =4710,@VinodSwami_IAF,4710
29,@atropized_m2 =5314,@atropized_m2,5314
30,@KAMAALAZAD =4452,@KAMAALAZAD,4452
31,@Vivek_Gaur =268,@Vivek_Gaur,268
32,@BadaChetan =143,@BadaChetan,143
33,@VishnudevMahto =275,@VishnudevMahto,275
34,@SapnaShakya8 =828,@SapnaShakya8,828
35,@hasmukhahir1 =232,@hasmukhahir1,232
36,@Deepak_07rd =4440,@Deepak_07rd,4440
37,@fanclub_gopalji =649,@fanclub_gopalji,649
38,@VIPULSINH229 =423,@VIPULSINH229,423
39,@SouravY51323007 =55,@SouravY51323007,55
40,@bishtmahendra05 =1424,@bishtmahendra05,1424
41,@suneelkant =497,@suneelkant,497
42,@Abhi_8511 =34,@Abhi_8511,34
43,@Pradeep49501260 =1190,@Pradeep49501260,1190
44,@bandushingote =329,@bandushingote,329
45,@khbarbaazzi =1439,@khbarbaazzi,1439
46,@swatisometimes =356,@swatisometimes,356
47,@RamakantAazad =1288,@RamakantAazad,1288
48,@yaksh09 =623,@yaksh09,623
49,@DrJiblal =3885,@DrJiblal,3885
50,@shaikhsonu_007 =2673,@shaikhsonu_007,2673
51,@jashrawat =11851,@jashrawat,11851
52,@sethia_b =4083,@sethia_b,4083
53,@Shailendrak390 =629,@Shailendrak390,629
54,@ROCK__ON_ =1178,@ROCK__ON_,1178
55,@Akanksh35385597 =2067,@Akanksh35385597,2067
56,@Mr_AnujChauhan =257,@Mr_AnujChauhan,257
57,@ritu_199 =192,@ritu_199,192
58,@ravindrafaujda =567,@ravindrafaujda,567
59,@Ujjwal_ROCK01 =28,@Ujjwal_ROCK01,28
60,@amitjacky =78,@amitjacky,78
61,@EssarHiten =1024,@EssarHiten,1024
62,@bjp4parinya =523,@bjp4parinya,523
63,@VinodKu44275811 =96,@VinodKu44275811,96
64,@AmjadMa87456954 =847,@AmjadMa87456954,847
65,@PoojaHinduSP =451,@PoojaHinduSP,451
66,@Krishna57888959 =985,@Krishna57888959,985
67,@Mohitt_Verma =2683,@Mohitt_Verma,2683
68,@Ark5111Love =467,@Ark5111Love,467
69,@SardarniTiyara =258,@SardarniTiyara,258
70,@kanhatanna =2698,@kanhatanna,2698
71,@MOHDHAS55533994 =2405,@MOHDHAS55533994,2405
72,@Manorathgarg1 =400,@Manorathgarg1,400
73,@inbyheart =1011,@inbyheart,1011
74,@jaydev_meena =573,@jaydev_meena,573
75,@Nishant21035173 =562,@Nishant21035173,562
76,@Akshay8668_ =403,@Akshay8668_,403
77,@Mahendr18562340 =854,@Mahendr18562340,854
78,@VikasJakharJat =408,@VikasJakharJat,408
79,@Shilpa_crazy =5156,@Shilpa_crazy,5156
80,@desimonk92 =280,@desimonk92,280
81,@shambhukumar10 =938,@shambhukumar10,938
82,@vivekkumar096 =264,@vivekkumar096,264
83,@sher_e_awadh =1058,@sher_e_awadh,1058
84,@Deepesh77265875 =205,@Deepesh77265875,205
85,@michell22363474 =23,@michell22363474,23
86,@Yar_Cryptogeek =68,@Yar_Cryptogeek,68
87,@nigelmoran =9679,@nigelmoran,9679
88,@mathpati_yogesh =143,@mathpati_yogesh,143
89,@irinkyakepapaa =95,@irinkyakepapaa,95
90,@AteeqRayeen =151,@AteeqRayeen,151
91,@piyushtofficial =4482,@piyushtofficial,4482
92,@imas63529685 =758,@imas63529685,758
93,@CLUBOFRONALDO1 =962,@CLUBOFRONALDO1,962
94,@PooliyaManga =586,@PooliyaManga,586
95,@SomPatelBJPFan =559,@SomPatelBJPFan,559
96,@chachanehru10 =77,@chachanehru10,77
97,@budholiyakrish3 =454,@budholiyakrish3,454
98,@aayushsaran =9495,@aayushsaran,9495
99,@im_Hrastogi =5343,@im_Hrastogi,5343
100,@SatishD56336323 =1101,@SatishD56336323,1101
101,@KhanSaharyab =102,@KhanSaharyab,102
102,@xPCLmPRHdwL65Uc =24,@xPCLmPRHdwL65Uc,24
103,@AjayY16075630 =209,@AjayY16075630,209
104,@KouravSurendra1 =4991,@KouravSurendra1,4991
