,handle,handle_name,followers between 200 and 400
1,@babu939839 =334,@babu939839,334
2,@Jakhmi_ =372,@Jakhmi_,372
3,@iampravinkhichi =316,@iampravinkhichi,316
11,@Mehtabhi1 =318,@Mehtabhi1,318
12,@annepuanil1 =296,@annepuanil1,296
16,@sudhindra_kumar =216,@sudhindra_kumar,216
20,@ShahrukhAIMIMmp =289,@ShahrukhAIMIMmp,289
31,@Vivek_Gaur =268,@Vivek_Gaur,268
33,@VishnudevMahto =275,@VishnudevMahto,275
35,@hasmukhahir1 =232,@hasmukhahir1,232
44,@bandushingote =329,@bandushingote,329
46,@swatisometimes =356,@swatisometimes,356
56,@Mr_AnujChauhan =257,@Mr_AnujChauhan,257
69,@SardarniTiyara =258,@SardarniTiyara,258
72,@Manorathgarg1 =400,@Manorathgarg1,400
80,@desimonk92 =280,@desimonk92,280
82,@vivekkumar096 =264,@vivekkumar096,264
84,@Deepesh77265875 =205,@Deepesh77265875,205
103,@AjayY16075630 =209,@AjayY16075630,209
109,@MDKaif90827113 =352,@MDKaif90827113,352
135,@PreetiS85083048 =282,@PreetiS85083048,282
141,@Pooja11114 =395,@Pooja11114,395
147,@BatraPardyuman =266,@BatraPardyuman,266
160,@Himansh33031760 =254,@Himansh33031760,254
162,@JaiShre18401443 =389,@JaiShre18401443,389
172,@KadirCh51465911 =208,@KadirCh51465911,208
174,@Pushkarti007 =251,@Pushkarti007,251
182,@ballebajvidhayk =322,@ballebajvidhayk,322
185,@amityadav141 =317,@amityadav141,317
194,@JeniferWilams =386,@JeniferWilams,386
203,@VimalKumarPal19 =203,@VimalKumarPal19,203
204,@tech_rein =390,@tech_rein,390
205,@DRamaSudhakar =279,@DRamaSudhakar,279
207,@xCAEi5HfOu5Kbt0 =283,@xCAEi5HfOu5Kbt0,283
216,@ABHISHE00503767 =321,@ABHISHE00503767,321
223,@alok_pattanaik1 =294,@alok_pattanaik1,294
238,@PrakashVaran08 =368,@PrakashVaran08,368
240,@pseudo__world =261,@pseudo__world,261
242,@csvyas1996 =240,@csvyas1996,240
244,@krishna108kk =240,@krishna108kk,240
246,@DntSpillDaBeans =280,@DntSpillDaBeans,280
252,@SoniSanatani =217,@SoniSanatani,217
256,@ChakeriRaj =367,@ChakeriRaj,367
258,@Adityabanna7 =226,@Adityabanna7,226
260,@ShivamHunter3 =337,@ShivamHunter3,337
262,@DiwanaShri =211,@DiwanaShri,211
275,@NasirBhaisjaan =358,@NasirBhaisjaan,358
287,@ManTheiron =349,@ManTheiron,349
290,@MauryaPrduman =318,@MauryaPrduman,318
295,@MrBusinessMan6 =220,@MrBusinessMan6,220
