Date,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
10/15/2019,39,20626,1389,0.067342189,9,23,53,1079,1,2,45,0,0,0,0,0,0,173,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/16/2019,5,13910,778,0.055930985,2,2,21,605,0,3,40,0,0,0,0,0,0,80,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/17/2019,12,2351,155,0.065929392,3,2,14,68,0,2,12,0,0,0,0,0,0,53,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/18/2019,15,1971,116,0.058853374,1,17,9,61,0,0,11,0,0,0,0,0,0,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/19/2019,6,1961,123,0.0627231,2,10,24,38,0,0,5,0,0,0,0,0,0,44,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/20/2019,3,1172,65,0.055460751,3,2,1,34,0,0,0,0,0,0,0,0,0,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/21/2019,10,2119,94,0.044360547,3,5,18,48,0,2,10,0,0,0,0,0,0,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/22/2019,3,894,61,0.068232662,1,3,13,38,0,0,1,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/23/2019,15,11417,338,0.029604975,9,16,90,199,0,0,15,0,0,0,0,0,0,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/24/2019,3,874,47,0.053775744,0,3,15,24,0,0,0,0,0,0,0,0,0,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/25/2019,1,540,13,0.024074074,0,0,4,1,0,0,0,0,0,0,0,0,0,12,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/26/2019,3,464,7,0.015086207,0,0,2,4,0,0,0,0,0,0,0,0,0,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/27/2019,6,728,50,0.068681319,1,3,13,14,0,0,1,0,0,0,0,0,0,19,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/28/2019,2,443,40,0.090293454,0,2,4,11,1,0,4,0,0,0,0,0,0,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/29/2019,4,403,34,0.084367246,0,0,3,15,0,0,2,0,0,0,0,0,0,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/30/2019,5,746,20,0.026809651,3,1,7,8,0,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/31/2019,5,580,13,0.022413793,2,0,5,4,0,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/1/2019,1,667,54,0.08095952,0,1,1,10,3,0,2,0,0,0,0,0,0,47,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/2/2019,14,970,88,0.090721649,6,5,19,30,0,0,6,0,0,0,0,0,0,33,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/3/2019,7,757,56,0.073976222,3,1,10,9,0,0,0,0,0,0,0,0,0,49,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/4/2019,8,744,68,0.091397849,1,3,16,6,0,0,2,0,0,0,0,0,0,42,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/5/2019,11,903,50,0.055370986,0,4,9,9,0,0,4,0,0,0,0,0,0,24,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/6/2019,14,5733,1019,0.177742892,39,42,115,659,0,1,107,0,0,0,0,0,0,62,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/7/2019,51,9076,1145,0.126156897,45,53,163,764,0,6,42,0,0,0,0,0,0,79,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/8/2019,65,20289,2196,0.10823599,178,172,405,1112,0,5,75,0,0,0,0,0,0,261,249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/9/2019,91,28842,2491,0.086367104,188,157,478,1128,2,7,61,0,0,0,0,0,0,473,470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/10/2019,0,7126,707,0.099214145,33,22,78,471,0,0,76,0,0,0,0,0,0,28,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11/11/2019,34,20057,1835,0.091489256,229,193,571,710,1,3,59,0,0,0,0,0,0,70,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
