,handle,handle_name,followers between 400 and 1000
7,@Harsh763500 =842,@Harsh763500,842
9,@abhay1088 =613,@abhay1088,613
12,@PAWANKISHORTAND =730,@PAWANKISHORTAND,730
15,@AamirsAnand =401,@AamirsAnand,401
17,@Darshansthakur =541,@Darshansthakur,541
18,@mangi_nagar =890,@mangi_nagar,890
22,@SumiRaj77376027 =789,@SumiRaj77376027,789
29,@Sanjayk75291418 =589,@Sanjayk75291418,589
39,@Vikramgupta171 =914,@Vikramgupta171,914
42,@nirmalsamiiiiii =870,@nirmalsamiiiiii,870
45,@AjayDoshi2 =535,@AjayDoshi2,535
49,@ImJumpingJack =736,@ImJumpingJack,736
52,@murphy_lynx =847,@murphy_lynx,847
55,@VikashChouhanT1 =839,@VikashChouhanT1,839
58,@Mahendr18562340 =819,@Mahendr18562340,819
65,@ProudyBihari =730,@ProudyBihari,730
70,@Praveen09655129 =915,@Praveen09655129,915
71,@SiyaramChoudh10 =426,@SiyaramChoudh10,426
84,@joyantabiswas75 =774,@joyantabiswas75,774
85,@Rohit00068 =496,@Rohit00068,496
93,@GodaraArmy =907,@GodaraArmy,907
101,@Ziddidevendra =924,@Ziddidevendra,924
104,@singh_k_arunjay =753,@singh_k_arunjay,753
107,@aokmyidol =888,@aokmyidol,888
108,@PradipB08481326 =551,@PradipB08481326,551
110,@invincible779 =690,@invincible779,690
112,@hanuman7890 =767,@hanuman7890,767
118,@Shailendrak390 =560,@Shailendrak390,560
120,@yashBJPIT =524,@yashBJPIT,524
132,@babar_syad =474,@babar_syad,474
134,@JALILSHAIKH4 =632,@JALILSHAIKH4,632
135,@AnujSin17048259 =473,@AnujSin17048259,473
144,@gppalkanani =615,@gppalkanani,615
147,@Indopedia6 =974,@Indopedia6,974
156,@GAURAVC43614088 =830,@GAURAVC43614088,830
157,@devikaforu =423,@devikaforu,423
158,@pravj12 =752,@pravj12,752
161,@VIPULSINH229 =408,@VIPULSINH229,408
164,@sagufta1995 =488,@sagufta1995,488
176,@DilshadRajpoot4 =716,@DilshadRajpoot4,716
182,@Hanumansgurjar =488,@Hanumansgurjar,488
185,@RupaDwivedi2 =797,@RupaDwivedi2,797
187,@SarFaraz2901 =594,@SarFaraz2901,594
188,@_khiladi_bhaiya =737,@_khiladi_bhaiya,737
190,@IrfanullaKhan14 =601,@IrfanullaKhan14,601
192,@pawan0095 =767,@pawan0095,767
204,@kjgupt =417,@kjgupt,417
210,@BharatD09303904 =960,@BharatD09303904,960
211,@pank_twitty =708,@pank_twitty,708
213,@RahulSo22861417 =641,@RahulSo22861417,641
215,@Krishna57888959 =889,@Krishna57888959,889
216,@prasadshrikhand =966,@prasadshrikhand,966
217,@AmjadMa87456954 =551,@AmjadMa87456954,551
223,@GayatriOficial =454,@GayatriOficial,454
229,@TBramhan =746,@TBramhan,746
236,@suneelkant =465,@suneelkant,465
237,@EssarHiten =838,@EssarHiten,838
241,@Ark5111Love =424,@Ark5111Love,424
248,@DeepakR66426697 =483,@DeepakR66426697,483
250,@Agg1977Mohit =582,@Agg1977Mohit,582
257,@SudhakarSinghS2 =758,@SudhakarSinghS2,758
264,@rashmika14 =677,@rashmika14,677
272,@inbyheart =921,@inbyheart,921
273,@djmspeaks =807,@djmspeaks,807
274,@Babitas22605246 =790,@Babitas22605246,790
277,@capt_sena =754,@capt_sena,754
281,@PagletSuper =856,@PagletSuper,856
284,@bjp4parinya =437,@bjp4parinya,437
286,@jaydev_meena =497,@jaydev_meena,497
305,@neha_somu =791,@neha_somu,791
309,@Sachchi11582423 =417,@Sachchi11582423,417
313,@Real_Reena_ =861,@Real_Reena_,861
329,@KarelaRavi =874,@KarelaRavi,874
333,@Rajyadav_sp =697,@Rajyadav_sp,697
334,@KamleshBhadu029 =795,@KamleshBhadu029,795
339,@Rajaram99498400 =440,@Rajaram99498400,440
343,@Rajkuma52480030 =735,@Rajkuma52480030,735
354,@ChamanMourya =844,@ChamanMourya,844
355,@imritikroushan =615,@imritikroushan,615
358,@Manojsinh_16 =700,@Manojsinh_16,700
366,@Republicansaif =771,@Republicansaif,771
370,@arun31jan =559,@arun31jan,559
371,@pritamjoshi40 =516,@pritamjoshi40,516
375,@NareshKhute2 =443,@NareshKhute2,443
378,@amitk230 =531,@amitk230,531
379,@praveensuman =414,@praveensuman,414
383,@BhiwadiYadav =649,@BhiwadiYadav,649
396,@RAJRANAHARI =958,@RAJRANAHARI,958
404,@Satwant36481878 =439,@Satwant36481878,439
409,@DheeruYadav13 =646,@DheeruYadav13,646
411,@FirozKh54052064 =767,@FirozKh54052064,767
416,@Hindutub108 =488,@Hindutub108,488
417,@mbarde216 =606,@mbarde216,606
420,@GarimaM53400210 =652,@GarimaM53400210,652
430,@NavinNmo =453,@NavinNmo,453
431,@kumarss888 =722,@kumarss888,722
433,@Rishike63643428 =562,@Rishike63643428,562
438,@Shahenshah_bhai =542,@Shahenshah_bhai,542
442,@YadavDhananjai1 =451,@YadavDhananjai1,451
446,@AmitKum85178323 =864,@AmitKum85178323,864
457,@Surajsharma971 =901,@Surajsharma971,901
458,@Shibananda_M =512,@Shibananda_M,512
459,@ChangePreset =839,@ChangePreset,839
461,@Himayou_ =405,@Himayou_,405
465,@Nishu_lovi =742,@Nishu_lovi,742
468,@animesh_chauha =842,@animesh_chauha,842
469,@9cdCabSMDzGI9AN =685,@9cdCabSMDzGI9AN,685
470,@Pramodkurmi90 =808,@Pramodkurmi90,808
482,@Abhijitsingh45 =557,@Abhijitsingh45,557
483,@kumarsunil002 =456,@kumarsunil002,456
492,@mt333706 =909,@mt333706,909
500,@jaskumar19 =823,@jaskumar19,823
506,@VIKASCH64994497 =684,@VIKASCH64994497,684
510,@dineshkd1997 =680,@dineshkd1997,680
513,@Manojafrika =516,@Manojafrika,516
514,@Priyash52543830 =516,@Priyash52543830,516
515,@KanhaiyaDasMa11 =793,@KanhaiyaDasMa11,793
517,@iamdevSenwar =702,@iamdevSenwar,702
519,@Rao_Sahab1999 =484,@Rao_Sahab1999,484
525,@vsIYDm99MnAoa19 =482,@vsIYDm99MnAoa19,482
528,@girivindraj1992 =934,@girivindraj1992,934
531,@SaviourofIndia =420,@SaviourofIndia,420
538,@Dharmijayara =745,@Dharmijayara,745
542,@Hindustani313 =941,@Hindustani313,941
552,@Jahanzebalikha2 =946,@Jahanzebalikha2,946
555,@DMShIIB4PU0q4nO =742,@DMShIIB4PU0q4nO,742
558,@kotiancr =851,@kotiancr,851
565,@parthroyhindu =946,@parthroyhindu,946
567,@DineshR15826684 =619,@DineshR15826684,619
568,@rinkumnpr8440 =724,@rinkumnpr8440,724
571,@AZHARULSALMAN1 =420,@AZHARULSALMAN1,420
572,@Shriprakashps =995,@Shriprakashps,995
580,@SajidRajar8 =613,@SajidRajar8,613
590,@HumsafarAshu =580,@HumsafarAshu,580
594,@i_vikash_sharma =782,@i_vikash_sharma,782
597,@Priyankadubey97 =838,@Priyankadubey97,838
598,@ParmanandPapu =563,@ParmanandPapu,563
599,@Ridhi__Sharma =741,@Ridhi__Sharma,741
617,@Iamshuklavikas =984,@Iamshuklavikas,984
618,@eximoncom =616,@eximoncom,616
621,@prabhatPD143 =645,@prabhatPD143,645
622,@rps_ald =780,@rps_ald,780
623,@hemrajthakur8 =823,@hemrajthakur8,823
624,@DiwanaMadhav =405,@DiwanaMadhav,405
639,@Rajendr1650 =634,@Rajendr1650,634
643,@potepratik17 =809,@potepratik17,809
644,@RoutSmarika =995,@RoutSmarika,995
652,@yayij96 =469,@yayij96,469
655,@iamanand_siyol =706,@iamanand_siyol,706
657,@AyanSami8 =446,@AyanSami8,446
661,@rktiwari89 =558,@rktiwari89,558
683,@GoldenXraj =872,@GoldenXraj,872
684,@Barunjh21961726 =494,@Barunjh21961726,494
688,@SamirKumarJha1 =536,@SamirKumarJha1,536
693,@rofl_alex_ =423,@rofl_alex_,423
694,@chutkuleshwar =532,@chutkuleshwar,532
695,@apkafiroz =402,@apkafiroz,402
698,@narindarnaswa =618,@narindarnaswa,618
699,@amitsolanki750 =831,@amitsolanki750,831
702,@Anitasi96743080 =864,@Anitasi96743080,864
705,@Arvind_ckt =472,@Arvind_ckt,472
706,@koyalkar_77 =746,@koyalkar_77,746
707,@PANKAJS76915696 =570,@PANKAJS76915696,570
710,@upwala_bhaiya =833,@upwala_bhaiya,833
722,@_AnkitRajput_ =645,@_AnkitRajput_,645
727,@nirupamamk =760,@nirupamamk,760
731,@1Kumar_satya =561,@1Kumar_satya,561
737,@SeedsPlants =424,@SeedsPlants,424
741,@gbhardwaj_ =829,@gbhardwaj_,829
746,@Ajayraj27615581 =592,@Ajayraj27615581,592
751,@sainisrvan =652,@sainisrvan,652
752,@jatinkumar91 =444,@jatinkumar91,444
759,@BaliyanNiranjan =416,@BaliyanNiranjan,416
760,@Surinder4Thakur =737,@Surinder4Thakur,737
762,@Kalpesh91553724 =516,@Kalpesh91553724,516
769,@AshutoshSunilC1 =506,@AshutoshSunilC1,506
773,@Workholic28 =670,@Workholic28,670
776,@iBharatputra =869,@iBharatputra,869
778,@Sudhir_150803 =591,@Sudhir_150803,591
782,@sanjayjatwara =535,@sanjayjatwara,535
790,@NeelamSinghR =630,@NeelamSinghR,630
792,@MandalDelhiVale =499,@MandalDelhiVale,499
797,@Avdhesh21344845 =508,@Avdhesh21344845,508
800,@Alone_Lovy =612,@Alone_Lovy,612
804,@jool__5 =764,@jool__5,764
807,@MDArif13051973 =609,@MDArif13051973,609
815,@eusuesca1719 =503,@eusuesca1719,503
853,@Imrvkas =441,@Imrvkas,441
854,@Rajkumar0A =816,@Rajkumar0A,816
858,@SighSomya =627,@SighSomya,627
861,@praveensingh996 =714,@praveensingh996,714
873,@imvijayvijay =454,@imvijayvijay,454
886,@pardumndas =853,@pardumndas,853
900,@kamleshbharwad5 =575,@kamleshbharwad5,575
906,@drunked_boyO_o =527,@drunked_boyO_o,527
908,@sher_e_awadh =967,@sher_e_awadh,967
910,@iRitikRaushan =457,@iRitikRaushan,457
914,@SunilRa19822984 =711,@SunilRa19822984,711
915,@tarzan_yadav =752,@tarzan_yadav,752
919,@yogeshparee18 =938,@yogeshparee18,938
922,@MASTLARKA11 =587,@MASTLARKA11,587
936,@mohina123 =438,@mohina123,438
943,@harishbhardwaz =808,@harishbhardwaz,808
946,@nation_first7 =744,@nation_first7,744
948,@SatishRajput107 =484,@SatishRajput107,484
950,@Gautamm11854143 =828,@Gautamm11854143,828
951,@Lucky30651859 =895,@Lucky30651859,895
952,@iRishabhBJP =894,@iRishabhBJP,894
953,@pratikspande =870,@pratikspande,870
957,@ThakurVinodSin9 =751,@ThakurVinodSin9,751
958,@Anuu099 =929,@Anuu099,929
963,@SurajKanishk =939,@SurajKanishk,939
965,@VipTiwari1 =435,@VipTiwari1,435
966,@deovinay2010 =674,@deovinay2010,674
968,@DhirajS91467894 =795,@DhirajS91467894,795
970,@kamina_purush =780,@kamina_purush,780
973,@saifannadaf1 =717,@saifannadaf1,717
981,@SamarThakurMzn =660,@SamarThakurMzn,660
985,@YuvSingh22 =641,@YuvSingh22,641
987,@ShAmsMFP =590,@ShAmsMFP,590
989,@mviijay =868,@mviijay,868
990,@Aravind28187550 =620,@Aravind28187550,620
992,@SunetraAgarwal =698,@SunetraAgarwal,698
993,@Revolution00100 =423,@Revolution00100,423
1004,@vikasSh87372854 =417,@vikasSh87372854,417
1008,@anupamtheking =881,@anupamtheking,881
1009,@GauravRbus =599,@GauravRbus,599
1013,@SatyarthSaurabh =825,@SatyarthSaurabh,825
1015,@Bharat45784117 =904,@Bharat45784117,904
1019,@gbablu086 =675,@gbablu086,675
1021,@Aadesh93100843 =574,@Aadesh93100843,574
1022,@Rakeshp85484064 =427,@Rakeshp85484064,427
1024,@HanmantPurane =631,@HanmantPurane,631
1025,@Kayamat__ =728,@Kayamat__,728
1036,@buntyya61077221 =546,@buntyya61077221,546
1043,@gaganmharaj =870,@gaganmharaj,870
1046,@Arun10139286 =710,@Arun10139286,710
1050,@shivurmaliya12 =593,@shivurmaliya12,593
1054,@RajaDalpura =436,@RajaDalpura,436
1055,@Sm_N0 =750,@Sm_N0,750
1062,@PramodD61580133 =969,@PramodD61580133,969
1066,@SalmanP94934931 =932,@SalmanP94934931,932
1074,@SHIVKUMARSING15 =979,@SHIVKUMARSING15,979
1078,@iravikaloya =775,@iravikaloya,775
1081,@Tikam19685994 =918,@Tikam19685994,918
1083,@thepindari143 =465,@thepindari143,465
1084,@grsrajawatinc =631,@grsrajawatinc,631
1088,@GurdeepLamba107 =563,@GurdeepLamba107,563
1092,@earth_bd =865,@earth_bd,865
1097,@Shivmeena24 =675,@Shivmeena24,675
1103,@SarvottamJ =415,@SarvottamJ,415
1106,@IndiaAspires1 =518,@IndiaAspires1,518
1109,@ABVP61405772 =827,@ABVP61405772,827
1111,@DevtaAadmi =601,@DevtaAadmi,601
1112,@iamHarry79 =837,@iamHarry79,837
1114,@countryholiday5 =921,@countryholiday5,921
1121,@Prashan29652936 =918,@Prashan29652936,918
1122,@mahakud993888 =661,@mahakud993888,661
1123,@Jaanu_0 =724,@Jaanu_0,724
1125,@SurajTr35978084 =770,@SurajTr35978084,770
1129,@amitana95371412 =771,@amitana95371412,771
1130,@RAMESHW21959917 =869,@RAMESHW21959917,869
1134,@real_arvind_ =662,@real_arvind_,662
1136,@krishna02974688 =870,@krishna02974688,870
1148,@ArunKum15773361 =463,@ArunKum15773361,463
1151,@nilanshu_patel =690,@nilanshu_patel,690
1153,@AKJoshi1912 =618,@AKJoshi1912,618
1154,@YashwantSGurjar =654,@YashwantSGurjar,654
1167,@narsingkarad =429,@narsingkarad,429
